Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2009-12-22,124.99,2009,12,22,1,127.1542857142857,121.66857142857144,119.75066666666666,127.52,126.88,127.76
2009-12-23,124.52,2009,12,23,2,126.80428571428571,122.95071428571428,120.03833333333334,124.99,127.52,126.88
2009-12-28,122.05,2009,12,28,0,126.00857142857144,124.31928571428571,120.21066666666665,124.52,124.99,127.52
2009-12-29,121.64,2009,12,29,1,125.05142857142857,124.25714285714287,120.11833333333334,122.05,124.52,124.99
2009-12-30,121.3,2009,12,30,2,124.12857142857142,124.26142857142858,120.32933333333334,121.64,122.05,124.52
2010-01-02,122.67,2010,1,2,5,123.52714285714286,124.27857142857144,120.48333333333333,121.3,121.64,122.05
2010-01-03,122.99,2010,1,3,6,122.88,124.32285714285715,120.64766666666667,122.67,121.3,121.64
2010-01-04,130.46,2010,1,4,0,123.66142857142857,125.40785714285714,121.008,122.99,122.67,121.3
2010-01-06,129.88,2010,1,6,2,124.42714285714285,125.61571428571429,121.41499999999999,130.46,122.99,122.67
2010-01-07,155.23,2010,1,7,3,129.16714285714286,127.58785714285715,122.67466666666665,129.88,130.46,122.99
2010-01-09,160.01,2010,1,9,5,134.64857142857142,129.85,124.05466666666668,155.23,129.88,130.46
2010-01-10,161.3,2010,1,10,6,140.36285714285714,132.24571428571429,125.49666666666667,160.01,155.23,129.88
2010-01-11,169.94,2010,1,11,0,147.1157142857143,135.32142857142858,127.16433333333333,161.3,160.01,155.23
2010-01-12,170.51,2010,1,12,1,153.9042857142857,138.39214285714286,128.83966666666666,169.94,161.3,160.01
2010-01-13,130.35,2010,1,13,2,153.88857142857142,138.775,129.213,170.51,169.94,161.3
2010-01-14,130.29,2010,1,14,3,153.94714285714284,139.18714285714285,129.483,130.35,170.51,169.94
2010-01-15,128.36,2010,1,15,4,150.10857142857142,139.63785714285714,130.162,130.29,130.35,170.51
2010-01-18,127.59,2010,1,18,0,145.47714285714284,140.06285714285713,130.86266666666666,128.36,130.29,130.35
